name,Unnamed: 0,mapp,Mmax,Host_Name,ra,dec,z,subtype,Phot,Spec,Radio,X-ray,dist,buildup,decay,date,mabs,type,commentary,importance,teff_val,mass
SN2007L,28618,15.9,-18.6,UGC 466,10.9675,0.7932208333333333,0.018000000000000002,II,1.0,,,,0.07687934644025167,20,70,2007-01-18,26.47095158654399,supernova, ,0,,
SN1997W,26589,18.0,-16.0,NGC 664,10.935416666666667,4.2214180555555565,0.018000000000000002,II,1.0,1.0,,,0.07687934644025167,20,70,1997-02-01,28.570951586543988,supernova, ,0,,
SN1999gl,22601,17.41,-17.1,NGC 317B,14.417083333333332,43.79322083333333,0.018000000000000002,II,3.0,,,,0.07687934644025167,20,70,1999-12-14,27.980951586543988,supernova, ,0,,
SN2005cm,28228,16.8,-17.5,IC 5142,13.82375,-64.48658194444445,0.018000000000000002,,1.0,,,,0.07687934644025167,20,100,2005-06-20,27.37095158654399,supernova, ,0,,
MASTER OT J165420.77-615258,34832,16.9,-17.6,ESO 138-G6,13.586666666666664,-60.117222222222225,0.018000000000000002,II P,1.0,1.0,,,0.07687934644025167,15,50,2016-01-06,27.470951586543986,supernova, ,0,,
PSN J01101191+3313536,35690,17.6,-16.9,PGC 2027055,2.549583333333333,33.23155555555556,0.018000000000000002,IIb,1.0,,,,0.07687934644025167,20,70,2015-08-17,28.17095158654399,supernova, ,0,,
SN2017dgw,19126,18.53,-16.0,,286.71597083333336,-35.04122685185185,0.018000000000000002,Ia,5.0,1.0,,,0.07687934644025167,19,60,2017-04-22,29.10095158654399,supernova, ,0,,
SN2012av,31979,17.4,-17.1,UGC 10026,11.572916666666668,10.759581944444443,0.018000000000000002,II,1.0,1.0,,,0.07687934644025167,20,70,2012-03-16,27.970951586543986,supernova, ,0,,
PSN J21312375+4336312,35743,16.4,-18.1,PGC 90388,7.849166666666667,43.60866666666667,0.018000000000000002,Ia,1.0,1.0,,,0.07687934644025167,19,60,2015-11-07,26.970951586543986,supernova, ,0,,
PS1-14xx,23070,16.0,-18.5,CGCG 253-032,11.051249999999998,50.55127777777778,0.018000000000000002,Ia,3.0,,,,0.07687934644025167,19,60,2014-04-28,26.570951586543988,supernova, ,0,,
SN2009hk,28989,17.0,-17.5,MCG -04-48-26,9.655833333333334,-24.88444166666667,0.018000000000000002,Ia,1.0,,,,0.07687934644025167,19,60,2009-07-11,27.570951586543988,supernova, ,0,,
SN2018bif,24604,18.2,-16.3,,176.4368611111111,-10.211934722222221,0.018000000000000002,II,3.0,1.0,,,0.07687934644025167,20,70,2018-05-10,28.77095158654399,supernova, ,0,,
SN2016adp,36047,16.5,-18.0,PGC 2192359,50.42672916666668,42.09708333333335,0.018000000000000002,Ia,1.0,1.0,,,0.07687934644025167,19,60,2016-01-21,27.070951586543988,supernova, ,0,,
SN1968A,13221,14.74,-19.3,NGC 1275,49.954277777777776,41.50401851851851,0.018000000000000002,I,9.0,,,,0.07687934644025167,20,70,1968-01-25,25.310951586543986,supernova, ,0,,
SN2011Z,8900,15.9,-18.6,ESO 576-G77,202.67916666666667,-19.046074074074074,0.018000000000000002,Ia,14.0,1.0,,,0.07687934644025167,19,60,2011-01-29,26.47095158654399,supernova, ,0,,
SN2005dw,6463,17.0,-17.0,MCG -05-52-49,3.3825000000000003,-26.44455833333333,0.018000000000000002,II,19.0,3.0,,,0.07687934644025167,20,70,2005-08-30,27.570951586543988,supernova, ,0,,
SN1996bw,26448,17.5,-16.5,NGC 664,10.935416666666667,4.221941666666667,0.018000000000000002,II,1.0,4.0,,,0.07687934644025167,20,70,1996-11-30,28.070951586543988,supernova, ,0,,
SN1999ai,26714,18.1,-16.4,A131410-0535,3.544166666666667,-4.404529166666666,0.018000000000000002,II,1.0,,,,0.07687934644025167,20,70,1999-02-15,28.67095158654399,supernova, ,0,,
ASASSN-14me,29355,15.2,-19.3,ESO 113-G47,21.66758333333333,-56.00280648148149,0.018000000000000002,Ia,1.0,,,,0.07687934644025167,19,60,2014-12-16,25.77095158654399,supernova, ,0,,
SN2004cw,27618,16.6,-17.9,ESO 184-G75,7.739583333333334,-52.45869166666667,0.018000000000000002,,1.0,,,,0.07687934644025167,20,100,2004-06-13,27.17095158654399,supernova, ,0,,
SNhunt301,3903,17.1,-17.4,IC 2207,117.44708333333334,33.970224074074075,0.018000000000000002,,29.0,,,,0.07687934644025167,20,100,2016-01-19,27.67095158654399,supernova, ,0,,
SN1995Y,26411,18.0,-15.9,NGC 410,17.7481875,33.14477777777778,0.018000000000000002,Ia,1.0,4.0,,,0.07687934644025167,19,60,1995-08-28,28.570951586543988,supernova, ,0,,
LSQ12gwy,30323,15.4,-19.1,,10.883333333333333,-12.711111111111107,0.018000000000000002,Ia,1.0,1.0,,,0.07687934644025167,19,60,2012-12-01,25.97095158654399,supernova, ,0,,
SN2000dw,26980,17.5,-17.0,UGC 11955,3.4545833333333333,39.23752916666667,0.018000000000000002,II,1.0,,,,0.07687934644025167,20,70,2000-10-17,28.070951586543988,supernova, ,0,,
SN2010ia,31668,17.3,-17.2,A035656+0830,14.234166666666667,8.512529166666667,0.018000000000000002,Ia,1.0,,,,0.07687934644025167,19,60,2010-09-16,27.87095158654399,supernova, ,0,,
SN2017hfw,17112,17.43,-17.1,MCG -02-02-33,7.622516145833332,-7.219682083333335,0.018000000000000002,Ic,6.0,1.0,,,0.07687934644025167,20,70,2017-10-07,28.00095158654399,supernova, ,0,,
SN1988D,37367,15.5,-19.0,MCG +00-20-06,117.96295833333332,2.8125131944444446,0.018000000000000002,Ia,1.0,,,,0.07687934644025167,19,60,1988-02-09,26.070951586543988,supernova, ,0,,
SN1959B,36977,18.5,-16.0,NGC 4921,195.36481250000003,27.87300694444445,0.018000000000000002,Pec,1.0,,,,0.07687934644025167,20,100,1959-05-04,29.070951586543988,supernova, ,0,,
Gaia15acz,1265,16.8,-17.7,,137.756875,34.74089444444445,0.018000000000000002,II,65.0,,,,0.07687934644025167,20,70,2015-03-12,27.37095158654399,supernova, ,0,,
SN2017dpu,1458,18.03,-16.5,CGCG 299-048 NED02,255.81080416666668,61.452493518518544,0.018000000000000002,II,59.0,1.0,,,0.07687934644025167,20,70,2017-04-30,28.60095158654399,supernova, ,0,,
SN2012ab,3521,15.32,-19.2,A122248+0536,185.69833333333332,5.606941666666668,0.018000000000000002,IIn,31.0,,,,0.07687934644025167,21,100,2012-01-31,25.890951586543988,supernova, ,0,,
SN2010im,37845,,,A201131-4541,302.8818125,-44.300607407407405,0.018000000000000002,Ia,0.0,,,,0.07687934644025167,19,60,2010-10-04,,supernova, ,0,,
SN1989R,37402,15.0,-19.5,UGC 2912,59.88570833333333,42.61920625000001,0.018000000000000002,II,1.0,,,,0.07687934644025167,20,70,1989-10-04,25.570951586543988,supernova, ,0,,
SN1989ae,37388,19.0,-15.5,UGC 1722,33.66922222222223,43.35742361111111,0.018000000000000002,,1.0,,,,0.07687934644025167,20,100,1989-08-31,29.570951586543988,supernova, ,0,,
SN2004fe,345,16.53,-18.0,NGC 132,7.547083333333334,2.0898611111111114,0.018000000000000002,Ic,169.0,12.0,,,0.07687934644025167,20,70,2004-10-30,27.10095158654399,supernova, ,0,,
SN2012da,4037,15.25,-19.3,PGC 83768,0.6404166666666666,27.43647083333333,0.018000000000000002,Ia,28.0,,,,0.07687934644025167,19,60,2012-06-18,25.820951586543988,supernova, ,0,,
SN1956D,36960,19.2,-15.3,IC 850,196.9578888888889,0.8577685185185184,0.018000000000000002,,1.0,,,,0.07687934644025167,20,100,1956-02-11,29.77095158654399,supernova, ,0,,
SN1977D,37225,16.5,-18.0,MCG +02-06-19,30.98027777777777,11.96401851851852,0.018000000000000002,,1.0,,,,0.07687934644025167,20,100,1977-10-11,27.070951586543988,supernova, ,0,,
SN1977B,37223,14.0,-20.5,NGC 5406,210.07222222222225,38.90654629629629,0.018000000000000002,,1.0,,,,0.07687934644025167,20,100,1977-03-18,24.570951586543988,supernova, ,0,,
SN2004ex,286,16.74,-17.8,NGC 182,9.5425,2.7214416666666668,0.018000000000000002,II,190.0,,,,0.07687934644025167,20,70,2004-10-11,27.310951586543986,supernova, ,0,,
SN2016gil,4729,14.82,-19.7,NGC 2532,122.55708333333332,33.95711388888889,0.018000000000000002,II,25.0,1.0,,,0.07687934644025167,20,70,2016-09-17,25.390951586543988,supernova, ,0,,
SN1976I,37214,17.5,-17.0,MCG -01-03-59,15.21548611111111,-6.9462777777777776,0.018000000000000002,,1.0,,,,0.07687934644025167,20,100,1976-10-24,28.070951586543988,supernova, ,0,,
SN1954Z,36941,16.0,-18.6,MCG +02-25-30,146.30872222222226,9.099685185185184,0.018000000000000002,,1.0,,,,0.07687934644025167,20,100,1954-02-25,26.570951586543988,supernova, ,0,,
SN1976C,37210,14.5,-19.3,IC 1231,251.7643055555556,58.42430555555556,0.018000000000000002,,1.0,,,,0.07687934644025167,20,100,1976-06-01,25.070951586543988,supernova, ,0,,
SN1964B,37044,16.7,-17.8,UGC 2646,49.51945833333334,40.357370370370376,0.018000000000000002,I,1.0,,,,0.07687934644025167,20,70,1964-02-08,27.27095158654399,supernova, ,0,,
SN1963U,37039,15.0,-19.5,MCG +06-22-24,148.32547916666667,36.088907407407405,0.018000000000000002,Pec,1.0,,,,0.07687934644025167,20,100,1963-12-16,25.570951586543988,supernova, ,0,,
