name,Unnamed: 0,ra,dec,dist,nplanets,date,mabs,mapp,type,commentary,subtype,importance,teff_val,mass
HD 49674,1761,102.877151,40.867756,4.07e-08,1,01/01/2002,,,exoplanet, ,,0,,
HD 213240,562,337.75152599999996,-49.43327,4.08e-08,1,01/01/2001,,,exoplanet, ,,0,,
mu Leo,582,148.190903,26.006952,4.08e-08,1,01/01/2014,,,exoplanet, ,,0,,
HD 203030,752,319.74258399999997,26.23054500000001,4.0899999999999996e-08,1,01/01/2006,,,exoplanet, ,,0,,
HD 77338,188,135.30206299999998,-25.527061,4.13e-08,1,01/01/2012,,,exoplanet, ,,0,,
HD 103720,255,179.1716,-2.778953,4.16e-08,1,01/01/2014,,,exoplanet, ,,0,,
HD 222582,662,355.464722,-5.9857569999999996,4.2e-08,1,01/01/1999,,,exoplanet, ,,0,,
HD 102117,216,176.210251,-58.703708999999996,4.2e-08,1,01/01/2005,,,exoplanet, ,,0,,
BD-08 2823,679,150.198837,-9.516680000000001,4.21e-08,2,01/01/2009,,,exoplanet, ,,0,,
HD 27894,3140,65.19603000000001,-59.410835,4.24e-08,3,01/01/2017,,,exoplanet, ,,0,,
HD 38529,154,86.64546999999996,1.168193,4.24e-08,2,01/01/2000,,,exoplanet, ,,0,,
HD 285507,648,61.755104,15.335032,4.24e-08,1,01/01/2013,,,exoplanet, ,,0,,
HD 86226,206,149.124359,-24.09939,4.25e-08,1,01/01/2009,,,exoplanet, ,,0,,
HD 98649,1778,170.215698,-23.217342000000002,4.28e-08,1,01/01/2012,,,exoplanet, ,,0,,
HD 37605,151,85.00721,6.060579,4.29e-08,2,01/01/2004,,,exoplanet, ,,0,,
HD 147018,2703,245.75061000000002,-61.688763,4.3e-08,2,01/01/2009,,,exoplanet, ,,0,,
HD 166724,464,273.498657,-42.575375,4.3e-08,1,01/01/2012,,,exoplanet, ,,0,,
HD 155358,449,257.394226,33.355854,4.3e-08,2,01/01/2007,,,exoplanet, ,,0,,
HD 41004 A,1748,89.95687099999998,-48.239693,4.3e-08,1,01/01/2004,,,exoplanet, ,,0,,
HD 41004 B,160,89.956886,-48.239841,4.3e-08,1,01/01/2003,,,exoplanet, ,,0,,
HD 168746,467,275.457428,-11.922684,4.3099999999999996e-08,1,01/01/2002,,,exoplanet, ,,0,,
HD 215497,1729,341.653137,-56.599532999999994,4.35e-08,2,01/01/2009,,,exoplanet, ,,0,,
HD 83443,194,144.29928600000005,-43.272205,4.35e-08,1,01/01/2002,,,exoplanet, ,,0,,
HD 196067,747,310.433716,-75.3508,4.36e-08,1,01/01/2012,,,exoplanet, ,,0,,
HD 208487,758,329.332703,-37.763622,4.4000000000000004e-08,1,01/01/2004,,,exoplanet, ,,0,,
HD 4113,92,10.802486,-37.982632,4.4100000000000004e-08,1,01/01/2007,,,exoplanet, ,,0,,
HD 171238,548,278.68197599999996,-28.072313,4.4100000000000004e-08,1,01/01/2009,,,exoplanet, ,,0,,
HD 8574,106,21.302153,28.566692,4.42e-08,1,01/01/2002,,,exoplanet, ,,0,,
HD 121504,268,209.321823,-56.040043000000004,4.440000000000002e-08,1,01/01/2003,,,exoplanet, ,,0,,
HIP 91258,953,279.221466,61.702503,4.45e-08,1,01/01/2013,,,exoplanet, ,,0,,
HD 17674,3097,42.767853,30.286739,4.45e-08,1,01/01/2017,,,exoplanet, ,,0,,
HD 27631,142,64.939461,-41.960266,4.45e-08,1,01/01/2012,,,exoplanet, ,,0,,
HIP 5158,1780,16.508533,-22.453154,4.4800000000000004e-08,2,01/01/2009,,,exoplanet, ,,0,,
HD 187085,670,297.391541,-37.780552,4.5e-08,1,01/01/2006,,,exoplanet, ,,0,,
HD 34445,3230,79.420746,7.353343,4.5e-08,6,01/01/2017,,,exoplanet, ,,0,,
HD 220689,572,351.470795,-20.61603,4.5199999999999994e-08,1,01/01/2012,,,exoplanet, ,,0,,
HD 175607,1015,285.272858,-66.19268000000001,4.53e-08,1,01/01/2015,,,exoplanet, ,,0,,
HD 202206,751,318.74069199999997,-20.789209,4.55e-08,1,01/01/2004,,,exoplanet, ,,0,,
HD 13931,98,34.197414,43.772995,4.55e-08,1,01/01/2009,,,exoplanet, ,,0,,
