,objid,host name,ra,dec,date,dist,mabs,mapp,type,subtype,z
30838,GRB 080330A,,4.277916667,30.607,30/03/2008,9.60E+14,,,supernova,LGRB,1.51
30844,SN2008bk,NGC 7793,359.4600833,-32.55597222,25/03/2008,7.12E+11,-15,12.83,supernova,II P,0.000759
30958,SN2008S,NGC 6946,8.689166667,60.09938889,01/02/2008,1.50E+11,-9.3,14.95,supernova,IIn-pec/LBV,0.00016
31017,SN2007sr,NGC 4038,180.47,-18.97269444,18/12/2007,5.08E+12,-18.2,12.79,supernova,Ia,0.005417
31071,GRB 071117A,,5.025833333,-63.442,17/11/2007,8.85E+14,,,supernova,LGRB,1.331
31101,ESSENCEy155,,1.98375,0.294856667,12/11/2007,6.09E+14,,,supernova,PISN?,0.7973
31239,SDSS-II SN 21388,SDSS J01233.30+000305.5,3.138708333,0.051611111,04/11/2007,4.61E+14,-19.4848,22.68,supernova,Ia,0.56665
31254,SN2007od,UGC 12846,13.95291667,18.41522222,02/11/2007,5.49E+12,-18.4,13.46,supernova,II P,0.00586
31255,SDSS-II SN 21663,SDSS J15852.72+000000.8,29.7196,0.000222222,02/11/2007,3.73E+13,-15.69,20.58,supernova,Ia,0.0401
31529,SDSS-II SN 19201,SDSS J25701.47+002011.8,14.25708333,0.336568056,13/10/2007,9.18E+13,-17.0142,21.27,supernova,II,0.100119
31670,SN2007nc,SDSS J00109.19+010409.4,0.28875,1.068472222,08/10/2007,7.98E+13,-17.5279,20.44,supernova,Ib,0.086794
31808,SNF20071003-000,,0.708333333,-22.53502778,03/10/2007,8.97E+13,-18.833,19.4,supernova,Ia,0.09782
